sense_1,sense_2,main_cl
усиливать уси лить что,ускорять ускорить что,2010
ставить поставить что возле около многих,грозить пригрозить оружием многим,2738
разбивать разбить вдребезги что,разрушать разрушить что,1900
разбивать разбить вдребезги что,разрушать разрушить что,1900
шатать расшатывать расшатать что,качать укачивать кого что,1406
становиться стать бдительным,становиться стать осторожным осмотрительным,1177
в разн ряд,строка строчка,944
сафьян,хром кожа в роли опр,951
подсолнух,семечки подсолнуха в роли опр подсолнечный,6
надмогильный камень надгробие,памятник,832
валять свалять что,ткать соткать что,1690
направление действия снизу вверх напр тгара вытаскивать что снизу вверх,направление действия изнутри вверх напр тыпара выпрыгнуть из ямы и,2564
направление действия во внутрь напр так шара бить ударять во что,направление действия сверху вниз напр андакь тапара прыгнуть в канаву,2045
направление действия во внутрь напр так шара бить ударять во что,нахождение пребывание в чём л внутри напр адзы тагылазлара стоять в воде,2048
плевать плюнуть во что,плевать плюнуть сверху вниз,2049
арестовывать арестовать кого,уличать уличить кого в чём,2815
быть запертым где,быть арестованным,3042
быть запертым где,быть арестованным,3042
спускаться спуститься,влезать влезть внутрь чего л,2205
спускаться спуститься,влезать влезть внутрь чего л,2205
перех разбивать разбить что в чём,неперех рушиться обрушиваться обрушиться,1897
нерасторопно неповоротливо,сонливо вяло,519
оставаться остаться сохраняться сохраниться где,оставаться остаться со храняться сохраниться в памяти,2649
нападать напасть на кого,нападение,2197
выбегать выбежать выскакивать выскочить из углубления,ускакать умчаться,2154
выносливый сильный,расторопный ловкий быстрый,272
быть выносливым сильным,быть расторопным ловким быстрым,1564
огораживаться огородиться чем,окружать окружить себя кем чем,2791
рвать на себе напр волосы одежду в припадке отчаяния горя,ругаться браниться,2089
обижаться обидеться,капризничать закапризничать,1537
становиться стать модным,становиться стать кокетливым,1174
задание,работа,689
волосы на голове,коса косы,984
мозг,ум рассудок,570
болтать,надоедать надоесть болтовнёй,565
сдирать содрать что,перех срывать сорвать что,1723
рассыпать рассыпать что л нанизанное на нитку и амхвква хъырп лара рассыпать бусы,рассыпать рассыпать что наполнив верхом,1786
плесневеть заплесневеть,преть сопреть гнить сгнить,1649
поручать поручить что кому,поручение,1657
поручать поручить что кому,обязанность,1118
поручение,обязанность,674
быть бесхарактерным,бесхарактерность,651
есть употреблять в пищу запрещённое религией,проявлять проявить нечестность присваивать присвоить незаконным образом что,1609
здравица заздравный тост,бокал с вином,23
журчать зажурчать,звон,45
перех грабить ограбить кого что,воровство,2853
волдырь,мозоль,348
неперех бодать боднуть кого ачвыгъь ала йацраст бык боднул собаку,неперех бодаться,2090
помощник,заместитель,239
выметать вымести что,сгребать сгрести что в кучу,1724
выметать вымести что,сгребать сгрести что в кучу,1724
перех подкапывать подкопать что,неперех вести подкоп подо что,2004
перех подкапывать подкопать что,неперех вести подкоп подо что,2004
перех подкапывать подкопать что,неперех вести подкоп подо что,2004
чугун чугунок посуда,чугун металл,285
молодость юность,неопытность,881
птенец детёныш квы джьма чыр волчонок,ребёнок,380
становиться стать бесцветным,становиться стать серым невыразительным,1198
становиться стать злым,становиться стать злодеем,1199
становиться стать очень бедным,становиться стать несчастным,1203
скамейка,сиденье,339
звериный,дикий,52
звериный,дикий,52
рассыпаться рассыпаться во рту,сыпаться в рот,1822
рассыпаться рассыпаться во рту,сыпаться в рот,1822
запихивать запихнуть заталкивать затолкнуть засовывать засунуть в рот что,затыкать заткнуть рот не дать пикнуть кому,1809
затуплять затупить что,отбивать отбить кого что у кого отнимать отнять кого что у кого,2941
становиться стать выдержанным,становиться стать тихим скромным,1168
выдержанный,тихий скромный,119
энергичный деятельный,быстрый проворный живой,271
энергичный деятельный,ловкий,603
след,след отпечаток,210
посещать посетить кого что,захаживать заходить зайти заезжать заехать к кому,2942
посещать посетить кого что,приходить прийти приезжать приехать за кем чем,1373
становиться стать нерешительным колеблющимся,становиться стать тревожным беспокойным,1158
становиться стать непрочным износиться,становиться стать слабым малосильным о человеке,1208
уничтожать уничтожить истреблять истребить друг друга,ссориться поссориться браниться разбраниться друг с другом,1352
уничтожать уничтожить истреблять истребить друг друга,уничтожение истребление друг друга,2579
дурачить одурачивать одурачить друг друга оставлять оставить друг друга в дураках,сбивать сбить с правильного пути друг друга,1381
освобождать освободить вызволять вызволить друг друга из неволи,позволять позволить разрешать разрешить друг другу что,1344
испытывать испытать друг друга подвергать подвергнуть испытанию друг друга,следить наблюдать друг за другом,3105
целый весь,живой целый невредимый,515
вынимать вынуть что из пакета из свёртка и л,разворачивать развернуть что,2057
перех взрывать взорвать что,неперех трескаться треснуть лопаться лопнуть,2560
мчаться промчаться пронестись мимо друг друга,пролетать пролететь проноситься пронестись мимо друг друга,1382
снабжать снабдить обеспечивать обеспечить кого что чем ар фач выла йадгалра снабдить войско продовольствием,снабжение обеспечение,1434
быть в хороших отношениях друг с другом,соответствовать подходить подойти друг другу,1376
завидовать кому чему,соблазняться соблазниться чем,2811
перех с силой ударить хватить что обо что,неперех пробегать пробежать проскакивать проскочить что через что,2104
перех и неперех ссыпать ссыпать в кучу что и без доп,перех набрасывать набросать в кучу чего,2405
хорошо лечь быть пригнанным о брёвнах и быть аккуратно сложенным о сене о вещах и,накапливаться накопиться скапливаться скопиться,2402
морить уморить голодом кого,утомлять утомить изнурять изнурить кого,2518
качаться покачиваться на ветру,трястись дрожать всем телом,2071
резать нарезать разрубать разрубить что на мелкие куски,изранить кого ножом кинжалом и,1914
крепить закреплять закрепить что внутри,крепить закреплять закрепить что чем,1787
давить раздавить многое многих,мять смять что,1958
трясти кого что,трясти растрясти кого в пути,2523
разводить развести разбавлять разбавить чем жидкость,замешивать замесить что,1898
сливаться слиться соединяться соединиться о ручьях реках,сливаться слиться,2235
связать перевязать что чем,завязывать завязать кого что в чём,2638
мазать что чем, обмазывать (обмазать) глиной (многое),2611
непонятливость,небрежность неряшливость,652
рассыпаться рассыпаться,распадаться распасться расстраиваться расстроиться,2166
выбивать выбить выколачивать выколотить что,выгонять выгнать кого откуда,2970
разветвляться разветвиться о дереве о дороге и,расходиться разойтись,1638
держать кого что на руках,иметь что владеть чем,2809
договариваться договориться между собой,договорённость,3067
договариваться договориться с кем, договариваться (договориться) между собой,1371
наносить нанести делать сделать надпись,надпись напр на камне,1300
ставить поставить кого что друг против друга,настраивать настроить кого что друг против друга,3094
закрывать закрыть что,запирать запереть что,1703
до того места,до того времени,711
до того места,до того времени,711
до того места,до того времени,711
момент бросания метания ядра диска и,момент пуска завода канала и,704
укорачивать укоротить что,укорачивание,1695
рушиться обрушиться,разва Об ливаться развалиться,2644
действие совершаемое совместно с кем чем напр ацчара есть вместе,пребывание вместе с кем чем л,1384
перех подламывать подломить надламывать надломить что,неперех подламываться подломиться надламываться надломиться о находящемся снизу,2727
загонять загнать кого подо что ах высква абакъ йыц ацара загнать телят под навес,забивать забить что подо что снизу,2562
выгонять выгнать кого из под чего,отгонять отогнать кого от кого чего,2970
базарные плата взимаемая официальным лицом с частных торговцев на рынке,рыночная цена,735
пар,запах,215
сбегать сбежать съезжать съехать с возвышенности горы обрыва и,скатываться скатиться с возвышенности горы обрыва и л,2308
перех чесать почесать что,неперех чесаться,1616
доносчик,сплетник сплетница бызхъа кончик языка,384
крепко сильно,сурово строго,498
нападать напасть на кого что йрым дырдзак ва ргвыквсара напасть внезапно неожиданно,заставать застать внезапно врасплох кого в агрессия,2198
паровоз,поезд,344
бежать побежать по направлению к говорящему,скакать поскакать по направлению к говорящему о лошади,2555
вести приводить привести кого куда,перех уговаривать уговорить кого,2944
ставить поставить что в беспорядке,строить построить кого в ряд шеренгу и п,2723
выбегать выбежать из леса зарослей и п по направлению к говорящему,высыпать высыпать появляться появиться выскакивать выскочить о прыщах сыпи и л,2430
выбивать выбить выколачивать выколотить что,прогонять прогнать выгонять выгнать кого из леса зарослей и п по направлению к говорящему,2970
хму риться нахмуриться,хмуриться о погоде,1482
убавлять убавить уменьшать уменьшить вес отложив часть чего л,поторапливать поторопить кого,2740
оставлять оставить что в чём где,пускать пустить кого на квартиру,2963
литься по направлению к говорящему,проникать проникнуть о жидкости,2358
выжигать выжечь что,гореть пылать,1671
находить найти выискивать выискать отыскивать отыскать кого что,доставать достать что,3007
момент выпуска кого чего,момент броска,712
придумывать придумать что,составлять составить что,1291
опаздывать опоздать на что,отставать отстать,1549
догонять догнать кого что двигаясь по направлению к говорящему,заставать застать настигать настигнуть кого о дожде,2340
осыпаться осыпаться о зёрнах подсолнуха кукурузы и,осыпаться осыпаться опадать опасть,1825
нора,берлога,244
нора,берлога,244
спутник попутчик,сослуживец сотрудник коллега,865
быть спутником попутчиком,быть сослуживцем сотрудником коллегой,3078
диагональный,диагоналевый,1005
человек строго соблюдающий предписания религии веры,служитель культа,823
в рази внач большой,и взрослый,480
в рази внач большой,и взрослый,480
виноград,изюм,4
насилие произвол,насильственный принудительный,854
уметь суметь читать,читать для кого,1279
тяжёлая болезнь,заразная болезнь,490
уметь суметь наточить что,точить наточить что для кого,2542
уметь суметь наточить что,точить наточить что для кого,2542
уметь суметь обмануть кого,обманывать обмануть кого по чьей л просьбе,2903
уметь работать,работать поработать на кого для кого,2902
уметь молотить,молотить что для кого,2866
ударять ударить,биться о сердце,1661
переселение,кочёвка перекочёвка,393
погибать погибнуть,гибель,2538
шептать,шептаться,75
шептать,шептаться,75
быть виновным,быть несправедливым,647
иноверец немусуль манин,вероотступник,68
иноходец,иноходь,228
лично местоименный аффикс принадлежности имён л ч класса женщин напр лаба её отец,глагольный аффикс постоянности непрерывности действия напрл дынхалун он постоянно непрерывно работал,1034
толчёный и молотый,рушеный и молотый,129
толчёный и молотый,рушеный и молотый,129
сказочник сказочница,шутник шутница балагур,1075
рабство,крепостничество,626
баловаться шалить озорничать,хулиганить,1656
безумный,безобразный уродливый,99
понемногу помалу,медленно,273
понемногу помалу,медленно,273
живот,кожа на животе,418
древесная смола,глазок сучок в стволе дерева пропитавшийся смолой и затвердевший,1755
стеснительный застенчивый робкий,неловкий неуклюжий,620
провожать проводить кого что,провожание,2868
убывать убыть,снижаться снизиться,1496
убывать убыть,снижаться снизиться,1496
инвалид,инвалидный,1061
разрывать разорвать что,отрывать оторвать что,1692
летать лететь,пролетать пролететькакое л пространство,918
перех ломать взломать что,перех разрушать разрушить что,2655
перех ломать взломать что,разрушение,2635
дешеветь подешеветь,унижаться унизиться,1523
длинные усы,усач,390
выражение глаз лица,взгляд мнение,867
укорачивать укоротить что,сокращение закругление,1695
затягивать затянуть сроки,задерживать задержать кого,2072
уменьшать уменьшить асас дырчара йгьи дырпхара на снижать снизить что,снизить цену,1732
разбивать разбить вдребезги что,разрушать разрушить что,1900
чистить вычищать вычистить почистить что,расчищать расчистить что,1412
отсутствие бдительности,отсутствие осторожности осмотрительности,649
отсутствие бдительности,отсутствие бережности,649
завтрак перед рассветом во время уразы,время перед рассветом,709
ученик учащийся медресе,семинарист,1100
снежинка,пороша,307
снежинка,пороша,307
плевать плюнуть во что,плевать плюнуть сверху вниз,2049
неперех болтаться барахтаться в чём,перех взбалтывать взболтать что,1960
оставаться остаться сохраняться сохраниться где,оставаться остаться со храняться сохраниться в памяти,2649
беднеть обеднеть,бедность,104
хотеть захотеть желать пожелать что чего,нуждаться в чём,3013
нападать напасть на кого,бросок,2812
ширь,простор,95
хромой,кривоногий,424
погибать погибнуть по своей неосторожности,утомлять утомить изнурять изнурить себя чем,2068
обманываться обмануться в чём,обманывать обмануть себя тешить себя иллюзиями,1243
обманываться обмануться в чём,обманывать обмануть себя тешить себя иллюзиями,1243
валяться аде,выпачкаться вываляться в чём,1927
обидчивый,капризный,73
длина,рост,969
длина,рост,969
строитель созидатель,конструктор проектировщик,1090
съедать съесть многое,отведывать отведать многое,1893
польза,полезный,9
свободный вольный,свободный просторный,65
собственность личная собственность,собственный личный,774
свобода,своеволие,880
срезать срезать обрезать обрезать что и без доп,укорачивать укоротить что и без доп,1894
срезать срезать обрезать обрезать что и без доп,укорачивание,1894
перех обламывать обломать что,перех переламывать переломить что,1721
перепрыгивать перепрыгнуть что через что,прыгать в высо ту,2309
гнутый,кривой,202
котёл,домашний очаг,1067
готовность,спелость зрелость,898
запрет употреблять в пищу,запретный запрещённый о пище,1609
запрет употреблять в пищу,запретный запрещённый о пище,1609
журчать зажурчать,звенеть зазвенеть,1700
помощник,заместитель,239
остаток,излишек,433
мелкий некрупный,отходы зерна идущие на корм для птицы,1820
обычай,характер натура,146
пир,банкет,207
челнок в швейной машине,катушка в ткацком станке,343
чугун чугунок посуда,чугун металл,285
зло,сильно,439
характер нрав,манера манеры,130
вязанка,свёрток,296
расспрашивать расспросить кого о чём,советоваться посоветоваться с кем,1280
кровохарканье,кровотечение,192
кровохарканье,кровотечение,192
переламывать переломить что,рассекать рассечь кого что,1949
снабжать снабдить обеспечивать обеспечить кого что чем ар фач выла йадгалра снабдить войско продовольствием,снабжение обеспечение,1434
соглашаться согласиться с чем,признаваться признаться в чём,1259
отходить отойти от кого чего аблын адыц ра отойти от стены,шкар расходиться разойтись разводиться развестись о супругах в,2691
раздавливать раздавить кого на чём расплющивать расплющить что на чём,надавливать надавить на кого что придавливать придавить кого что к поверхности,2720
молоть размалывать размолоть что примешивая напр пшеничную муку к кукурузной,разжевывать разжевать что чем,2017
объединяться объединиться,сходиться сойтись собираться собраться в одном месте,1383
резать что нарезать нарезать что чего во что," резать (нарезать, рубить, нарубить) что, смешивая с чем (напр. помидоры с огурцами)",1807
резать нарезать разрубать разрубить что на мелкие куски,изранить кого ножом кинжалом и,1914
разбитый раздробленный,разломанный сломанный,435
крепить закреплять закрепить что внутри,крепить закреплять закрепить что чем,1787
вдавливать вдавить вминать вмять что в массу,мять что чем,1958
мятый измятый,сплющенный,387
мять измять что чем,сплющивать сплющить что чем,1582
добавлять добавить просеивая напр кукурузную муку в пшеничную,просеивать просеять что через что,2431
пахать на ком чём," вспахивая, перемешивать (землю и дёрн)",2406
перебирать перебрать сортировать рассортировать что,убирать убрать прибирать прибрать наводить навести порядок,2973
впереди,раньше прежде,672
закрывать закрыть что чем,накидывать накинуть набрасывать набросить что на кого что,1922
коченеть окоченеть закоченеть,замерзать замёрзнуть заледенеть,1777
закрывать закрыть что,накрывать накрыть покрывать покрыть что чем,1922
всполошиться,шумно спорить браниться,1685
становиться стать жадным скупым,укрепляться укрепиться упрочиваться упрочиться,1216
грустить тосковать,волноваться нервничать,1493
спускать спустить вниз кого что,сбрасывать сбросить вниз кого что,2983
быть находиться между кем чем,слоняться болтаться без дела,1386
становиться стать хорошим добрым,выздоравливать выздороветь поправляться поправиться,1176
гречишный,гречневый,16
крепкий сильный о напитках,суровый строгий,600
забывать забыть по рассеянности,забывчивость рассеянность,1547
чужестранец,покорный о человеке,783
паровоз,поезд,344
спускаться спуститься с чего по направлению к говорящему,сползать сползти с чего по направлению к говорящему,1271
быстро вбегать вбежать между чем быстро въезжать въехать между чем по направлению к говорящему,течь протекать между чем по направлению к говорящему,2204
сбегать сбежать съезжать съехать вниз по направлению к говорящему,катиться скатываться скатиться по направлению к говорящему джьанахла агьаба г абгъаххра скатитьсЯс горы на санях,2148
оживать ожить воскресать воскреснуть,ирон выздоравливать выздороветь,2584
быстро проезжать проехать мимо пробегать пробежать мимо кого чего по направлению к говорящему,протекать течь мимо чего по направлению к говорящему,2204
собирать собрать кого в дорогу,собирать собрать на стол накрывать накрыть стол,1758
сходить сойти спускаться спуститься с чего по направлению к говорящему,сходить сойти стираться стереться о краске,2361
всовывать всунуть втыкать воткнуть погружать погрузить что в сыпучую или густую массу,вставлять вставить слово не к месту влезать влезть в разговор,2401
просачиваться просочиться через сквозь что,литься о поте,2264
напоминать напомнить о чём кому,заставлять заставить себя вспомнить что,1278
заставлять заставить кого танцевать станцевать,заставлять заставить что кружиться,1910
мочить намочить замочить что,замачивать замочить что,2014
литься по направлению к говорящему,проникать проникнуть о жидкости,2358
отскакивать отскочить отлетать отлететь ударившись обо что по направлению к говорящему об упругих предметах,перемахнуть через что по направлению к говорящему,2151
становиться стать мутным замутиться о воде,становиться стать пасмурным портиться испортиться о погоде,1201
бить ударить по лицу кого,бить в лицо о ветре,2541
становиться стать тёмно серым,становиться стать тёмно коричневым,1194
нора,берлога,244
влезать влезть в помещение,вползать вползти в помещение,2051
чужой,иностранный,1086
человек строго соблюдающий предписания религии веры,служитель культа,823
канал,арык,251
время период,сезон,889
тяжёлая болезнь,заразная болезнь,490
суметь избить исколотить одолеть кого в драке,избивать избить исколотить кого мстя за кого л,2820
в разн карточка,карточки продовольственные,247
в разн курс,курсы,697
ударять ударить,биться о сердце,1661
отнимать отнять отбирать отобрать что,разбирать разобрать что,2621
невеста,жених къдыр мул,1049
сук развилина,коряга,385
сук развилина,суковатый,53
голый нагой,босой,427
иноверец немусуль манин,вероотступник,68
валить повалить кого,валить повалить что,1990
тот кто купает тот кто обмывает,банщик,1288
становиться стать слабым нетугим,становиться стать расслабленным вялым,1155
глупеть поглупеть,сходить сойти с ума,1663
борзая охотничья собака,сыщик,401
выполнять выполнить секретное тайное поручение,разглашать разгласить тайну,1253
медленно тихо,постепенно мало помалу,1486
ожог,пожар пожарище,180
сжимать сжать в руках что,не давать воли кому держать в ежовых рукавицах кого,2741
возраст,век жизнь,923
глина,глиняный,288
в риторическом обращении при существительном или местоимении напр о сынбджваг в о друг мой о схъаг ара о мой любимый,при риторическом восклицании для усиления эмоциональной выразительности,1874
дешеветь подешеветь,унижение,1679
быть крупным по размерам,быть жёстким грубым шероховатым,466
счёт,сумма,959
длинные усы,усач,390
отогревать отогреть что,оттай вать оттаять что,2616
отогревать отогреть что,оттай вать оттаять что,2616
кормить накормить кого,откармливать откормить кого,2816
мельчить измельчить что,разрыхлять разрыхлить что,1711
в разн ряд,строка строчка,944
бить ударять во что,бросать бросить что вниз внутрь вглубь чего л,2109
сажать посадить кого во что куда,арестовывать арестовать кого,2815
хотеть захотеть желать пожелать что чего,нуждаться в чём,3013
прогибаться прогнуться,сгибаться согнуться находясь в чём либо,2557
ссылать сослать высылать выслать кого,ссылка высылка,3014
нападать напасть на кого,бросок,2812
выливаться вылиться о густой массе,растекаться растечься о густой массе,1728
выливаться вылиться о густой массе,растекаться растечься о густой массе,1728
широко,просторно,270
опта в игре в альчи ки,определённое положение альчика при игре,1398
куст,ямка лунка,420
дымить задымить,вихриться завихриться о пыли,1637
дымить задымить,вихриться завихриться о пыли,1637
мохнатые щётки над копытами чаще у лошадей,животное с мохнатыми щётками над копытами чаще лошадь,1029
мохнатые щётки над копытами чаще у лошадей,животное с мохнатыми щётками над копытами чаще лошадь,1029
хромой,кривоногий,424
наряжаться нарядиться,разукрашиваться разукраситься,1233
заставлять заставить кого вести или везти себя,заставлять заставить жениться на себе женить на себе кого,2933
группа всадников всадники,конница кавалерия,1062
группа всадников всадники,конница кавалерия,1062
отделяться отделиться,уединяться уединиться,742
отделяться отделиться,отделяться отделиться от родителей,742
обух,макушка вер шина,359
свобода воля,право,60
свобода вол я,право,60
быть безволосым,быть лысым,566
круглоголовый,тупоносый с затупленным носом,1747
болтливый,надоедливый своей болтовнёй,831
болтать,надоедать надоесть болтовнёй,565
поверхность,поверхностный,727
вращаться вертеться,вращение,220
душить задушить кого,удушение,2819
поручать поручить что кому,обязанность,1118
быть бесхарактерным,бесхарактерность,651
тяжесть,беременность,481
журчать зажурчать,журчание,1674
манера говорить,выражение оборот речи,142
бодать боднуть кого,щипать ущипнуть кого,2856
правдивость,вероятность возможность,263
в рази тонкий,жидкий водянистый,971
полоскать прополоскать что,подкрашивать подкрасить что,1298
бесцветность,серость невыразительность,542
становиться стать бесцветным,становиться стать серым невыразительным,1198
время выхода выезда на сенокошение,время период сенокошения,731
скоро быстро,очень,563
пениться вспениться,взмыливаться взмылиться покрываться покрыться пеной о лошади,2207
краска,краситель,954
энергичный деятельный,быстрый проворный живой,271
энергичность,быстрота проворство живость,916
с крепкими ногами выносливый,прочный устойчивый,469
мохнатые щётки над копытами у животных,животное с мохнатыми щётками над копытами,2474
мохнатые щётки над копытами у животных,животное с мохнатыми щётками над копытами,2474
корень растения зуба волоса и ац ла злаща квгылу щатап аг вы дызлаща квгылу фачКвып поел дерево держится своими корнями а человек пищей,корень,1025
посещать посетить кого что,приходить прийти приезжать приехать за кем чем,1373
тыл задняя часть,зад,422
искать на ощупь в темноте что,идти ходить вслепую на ощупь,2278
что либо близлежащее близко расположенное,окрестность окрестности,815
должность,место службы,726
бороться с кем,бороться с чем против чего,3068
прощать простйть что кому,прощать простить что друг другу,1333
дружба знакомство,родство родственные отношения между отцом невестки и родственниками её мужа,3058
объединяться объединиться,сходиться сойтись собираться собраться в одном месте,1383
разрушать разрушить что чем," разрушать, разрушить что",1942
впереди,раньше прежде,672
ближний близлежащий,близкий,911
курица,самка птиц,397
просить о чём,требовать что чего,1232
завидовать кому,завидовать друг Другу,1359
пускать пустить гнать погнать кого в лощину в овраг и л,оставлять оставить кого что в лощине в овраге и,2270
приятность,приветливость,102
страх отчаяние ужас,страшный ужасный,893
думать подумать о чём,помнить не забывать кого что чего,1244
забывать забыть по рассеянности,развлекаться развлечься,1508
обрядовое причитание обрядовый плач,песня плач,1684
бок,склон горы,1007
краснеть покраснеть,накаляться накалиться,1551
вытаскивать вытащить вынимать вынуть что,добывать добыть получать получить что из чего,2016
становиться стать мутным замутиться о воде,хмуриться нахмуриться о человеке,2253
быть решительным,решаться решиться на что,604
кое как,некоторые кое кто,1227
шептун шептунья болтун болтунья,сплетник сплетница,350
торговец вразнос,ветошник тряпичник,350
советчик,советник,1096
весело,бодро,83
ловить поймать кого что,улавливать уловить что,1236
несчастный,гадкий о человеке,927
покойник покойница,труп,919
неженатый холостой,холостяцкий,67
выполнять выполнить что,реализовывать реализовать что,1241
