sense_1,sense_2,mark
chest (body part),by heart,1
tall,expensive,1
to cough,to fear,1
to hang,to weigh (intr.),1
to take,to bring to order,1
to take,"to ferment, yeast",1
clean (adj.),empty,1
error,danger,1
to answer,to be responsible for,1
to rotate (tr.),to torture,1
black,guilty,1
black,married,1
black,Saturn,1
black,woman,1
"ill, sick, not well",moon,1
healthy,sun,1
"jewelry, precious thing",penis,1
to press down,brave,1
meat,kinship,1
anger,disease,1
skin (of a person),bark (of a tree),1
insolent,stupid,1
healthy,competent,1
<foreigner>,cunning person,1
spark,firefly,1
forehead,front (during the war),1
forehead,side (n.),1
big,important,1
"jewelry, precious thing",talent,1
"cavity, hollow",sinus (math.),1
"to beat, hit",to understand,1
"to beat, hit",to drink,1
curved,insane,1
"to beat, hit",to be alike,1
"to beat, hit",to sound,1
to become curved,to be angry,1
broken,insane,1
"to pull, to draw",to be alike,1
jaw,talkative person,1
stone (of a fruit),cause; reason,1
stone (of a fruit),secret (n),1
"step (of a staircase, step-ladder)","stage, phase",1
blood,kinship,1
strong,clever,1
chest (body part),milk,1
to fish,to flirt,1
hand/arm,"manner, way",1
to live,bread,1
to wash,to rub,1
enemy,evil spirit,1
sky,god,1
father,parents,1
old (vs. young),parents,1
to give birth,parents,1
"to shine, glitter",star,1
white,"albugo, wall-eye",1
to catch up,to revenge,1
owner,tiger,1
owner,bear (Ursus),1
"to smear, anoint","to cure, treat (medically)",1
fire,inflammation,1
<animal>,spot of reflected light,1
to bite,to hew,1
wooden object,bastard,1
to make noise,to quarrel,1
night,24 hours,1
day,24 hours,1
winter,year,1
autumn,year,1
"to spring, jump",to copulate,1
red,gold,1
sphere; ball,bullet,1
"stone, rock",bullet,1
arrow,bullet,1
"lead, plumbum",bullet,1
thunder,fire-arms,1
bow (weapon),fire-arms,1
morning,east,1
to croak,to predict misfortune,1
heart,to be angry,1
hand/arm,ray,1
hand/arm,"trunk, proboscis (of elephant)",1
arrow,lightning,1
spear,lightning,1
thorn,arrow,1
cheerful,rainbow,1
"to beat, hit",to be at war,1
to kill,to be at war,1
to pull hair,"to fight, to be at war",1
noise,war,1
to greet,to kiss,1
unhappy,lovely,1
<plant (biol.)>,bastard,1
earth,person,1
beard,axe,1
<place name>,<fish>,1
summer,harvest,1
autumn,harvest,1
August,harvest,1
<foreigner>,maize,1
pigeon (Columba),maize,1
goat,oats,1
tooth,sword,1
"to let, leave",to stop doing smth.,1
arc,bow (weapon),1
"rope, string, cord, lashing",snake,1
black,many,1
black,pupil (of an eye),1
"wide, broad",lavish,1
<foreigner>,buckwheat,1
"heathen, pagan",buckwheat,1
beech,oak,1
elm,beech,1
oak,tree,1
oak,pine-tree,1
oak,pole,1
beech,ash (tree),1
pine-tree,spruce (Picea),1
willow,poplar (Populus alba),1
aspen,poplar (Populus alba),1
to tremble,aspen,1
pine-tree,abies (Abies),1
pine-tree,larch,1
pine-tree,Siberian cedar (kedar),1
poplar (Populus alba),abies (Abies),1
poplar (Populus alba),tree,1
aspen,elm (Ulmus),1
yew,willow,1
poplar (Populus alba),platan,1
tree,"firm, solid",1
mountain,oak,1
birch,ash (tree),1
willow,alder,1
spruce (Picea),alder,1
birch,beech,1
birch,bird cherry tree,1
ash (tree),maple,1
rowan,henbane,1
hawthorn,dog-rose,1
hawthorn,cornel,1
hawthorn,blackthorn,1
shadberry,honeysuckle,1
meadow-sweet,tamarisk,1
bird cherry tree,medlar,1
currant-bush,wild rosemary,1
currant-bush,buckthorn (Frangula),1
currant-bush,gooseberry,1
"snowball tree, guelder-rose, viburnum",tamarisk,1
light (of colour),birch (Betula),1
birch (Betula),elm,1
hornbeam,beech,1
elder (Sambucus),dog-rose,1
barley,oats,1
juniper (Juniperus),wild rosemary,1
maple,rowan,1
<foreigner>,child before baptism,1
<blood-sucking insect>,summer,1
tree,club (a weapon),1
tree,spear,1
leek,club (a weapon),1
<tree>,spear,1
dark (adj.),prison,1
tower,prison,1
"stone, rock",prison,1
to wait,ambush,1
to sit,ambush,1
forest,ambush,1
to see/to look at,ambush,1
to lie (posture),ambush,1
to hide (tr.),ambush,1
cheek,shield,1
"board, plank",shield,1
"firm, solid",fortress,1
strong,fortress,1
to shear,to move ears (of animal),1
<musician>,<orthopteran>,1
<unit of length>,geometrid,1
foot/leg,"salient part, ledge",1
foot/leg,spur of mountain,1
foot/leg,branch (of a river),1
<artisan>,<capricorn beetle>,1
man with a big moustache,<capricorn beetle>,1
brothel,"disorder, mess",1
mental hospital,"disorder, mess",1
<name of person>,monarch,1
intact,normal,1
to blossom,to get mouldy (musty),1
duckweed,"to walk, wander",1
to put shoes on,to deceive,1
"firm, solid",strong,1
bitter,pain,1
to drill,pain,1
to swear (an oath),"to swear, curse",1
to burn (tr.),frost,1
milk,milt (of fish),1
to clean,"to baptize, christen",1
guilt,cause; reason,1
to be enough,to finish,1
light (n.),sky,1
<bird>,talkative person,1
early,long ago,1
end,completion,1
leaf,crucian,1
friend,musk-deer (Moschus moschiferus),1
<clothes>,"caul, amniotic sac",1
<hat>,"caul, amniotic sac",1
monarch,bride,1
empty,thin (of an object),1
empty,hungry,1
empty,poor,1
empty,unmarried,1
house,tomb,1
house,coffin,1
<clothes>,menstruation,1
"resin; pitch, tar",hell,1
to give birth,stork (Ciconia),1
to live,to plough,1
to dig,to bury,1
white,wheat,1
feather,leaf,1
"to get, obtain",to win,1
sea,coast,1
to break (tr.),to win,1
to break (tr.),to fold (cloth),1
to break (tr.),to divide into several parts,1
to break (tr.),to subjugate,1
to go around,to defend,1
"to weaken, loosen",to fold (cloth),1
two,to fold (cloth),1
thunder,lightning,1
hot,inflammation,1
yellow,green,1
"common, shared by several people",vulgar,1
big,great,1
"little, small","detailed, thorough",1
"wide, broad",big,1
high (location),of high rank,1
low (location),contemptible,1
low (location),unhappy,1
fat (adj.)(of a person),rich,1
healthy,brave,1
brave,clever,1
low (location),subordinate (in rank),1
to do,to copulate,1
to blow,to smell (of smth),1
chest (body part),front part,1
snake,lizard,1
dog,wolf (Canis lupus),1
hedgehog (Еrinaceus),rat (Rattus),1
frog,toad,1
worm,snail,1
to dig,worm,1
<bird>,bastard,1
horse (Equus caballus),girl,1
snake,dragon,1
worm,caterpillar,1
bird,to tell a person's fortune,1
bull,boss,1
to reach,"to come to end, to cease",1
rare,expensive,1
knee,genitalia,1
correct (adj.),rich,1
"to do wrong, to commit a fault, to behave in a wrong way",to dare,1
merchant,rich,1
salt,good,1
clever,old (vs. young),1
guest,"stranger, foreign",1
to fly,"to spring, jump",1
cold (adj.),calm,1
urine,child,1
to feel pity,to love,1
to arrange into a line,poetry,1
to strew,prose,1
to stand,to depend,1
"can, to be able",to know,1
look (n.),"instant, moment",1
middle,to act as intermediary,1
to hope,to ask (for),1
difficult,amazing,1
difficult,amazing,1
to chew,to think,1
pure,frank,1
"to untie, unbind",to stop doing smth.,1
"to untie, unbind",to open (tr.),1
army,war,1
"to worry, be agitated",music,1
to sleep,motionless,1
to tread,to infringe,1
to transit,to infringe,1
"scanty, not numerous",contemptible,1
"scanty, not numerous",stupid,1
"scanty, not numerous",tasteless,1
to destroy,to forgive,1
to be extinguished (light),to disappear,1
to extinguish,to destroy,1
to stand,to stop (intr.),1
to set upright,to stop doing smth.,1
to stand,"to help, aid",1
to put,"to establish, found",1
to go out,to manage to do smth,1
to play (intr.),to speak,1
to eat,to think,1
bad,brave,1
mute,animal,1
to cut (tr.),to copulate,1
"to make common, shared by several people","to inform, let know",1
"common, shared by several people",bad (ethically),1
"brilliant, glaring",transparent,1
hot,fresh,1
"to light, to kindle (the fire)",to shoot,1
to want,thing,1
milk,sap (of a plant),1
milk,"resin; pitch, tar",1
poison,anger,1
"stone, rock","to calculate, count",1
"stone, rock",hail,1
"stone, rock",weight (a standard of comparison in weighting),1
"to mix, stir",to spoil,1
"to mix, stir",to make disordered,1
door,on the outside,1
door,foreign,1
field,on the outside,1
field,"wild, untamed",1
to thrust (into),to ache,1
to thrust (into),to sting,1
to promise,to answer,1
"grain, seed","rash, eruption",1
"grain, seed",pip (disease of birds),1
"grain, seed",sty (on the eye),1
smoke,house,1
smoke,pride,1
smoke,abberation of mind,1
bottom,<waterfowl>,1
finger/toe,<unit of length>,1
finger/toe,spoke,1
<animal>,coward,1
leaf,blade,1
to unwind,to go after smb.,1
to unwind,to develop,1
<vessel>,"ship, vessel",1
chaff,useless thing,1
to clean,to baptize,1
to enjoy,to eat,1
to feel hunger,to want,1
heat,to feel hunger,1
pain,to feel hunger,1
to die,to feel hunger,1
grass,hair,1
to hang,sword,1
to hew,to lose consciousness,1
bad weather,mushroom,1
forest,to hunt,1
lower part,west,1
top,east,1
hand/arm,five,1
hedgehog (Еrinaceus),badger (Meles),1
pig (Sus scrofa),hedgehog (Еrinaceus),1
pig (Sus scrofa),badger (Meles),1
star,destiny,1
blacksmith,"wizard, magician",1
to know,to practice witchcraft,1
<animal>,cloud,1
<animal>,white caps (on sea waves),1
plant (biol.),"drug, medicine",1
plant (biol.),(gun)powder,1
head,money,1
to strain,to prepare,1
to shout,"to call (somebody), to call for",1
worm,insect,1
"to call (somebody), to call for","to ask, inquire",1
"short, brief",quiet (vs. loud),1
<animal>,fool,1
"to beat, hit",to spoil,1
to sweat,"to worry, be agitated",1
sky,dead (adj.),1
light (of colour),loud,1
<weapon>,army,1
fellow traveller,spouse,1
to listen,"to learn, study",1
angry,brave,1
noise,pig (Sus scrofa),1
ermine; stoat (Mustela erminea),Siberian weasel (Mustela sibirica),1
black grouse (Lyrurus),hazel grouse (Tetrastes bonasia),1
mouse,rat (Rattus),1
perch (Perca fluviatilis),ruff (Acerina cernua),1
mouse,"little, small",1
sound,fame,1
to open (tr.),to begin (tr.),1
shapeless,"ugly, unpleasant",1
to blow,to speak,1
"net, toils, network",spider,1
dark (adj.),blind,1
"rope, string, cord, lashing",<unit of length>,1
ram,battering-ram,1
shell,spoon,1
to lick,spoon,1
chip,spoon,1
"to mix, stir",dough,1
to go up,dough,1
table; desk,meal (process),1
<furniture>,<office>,1
barley,bread,1
yellow,honey,1
wind,to winnow,1
bald,"hummel, hornless",1
to swim,"to beat, hit",1
liver,location of emotions,1
back (body part),surface,1
monarch,husband,1
to flow,to grow numb,1
storehouse; depo,shop,1
to bury,to destroy,1
"herder, herdsman, shepherd",fool,1
shadow,"protection, patronage",1
to listen,"to smell, scent",1
"to shine, glitter",to boast,1
to cut (tr.),to dilute,1
to lengthen,to dilute,1
"to baptize, christen",to dilute,1
<fruit>,head,1
to burn (tr.),"to cure, treat (medically)",1
green,glaucoma,1
to cut (tr.),to mow grass,1
"board, plank",table; desk,1
to throw,to speak,1
to sprinkle,to cut (tr.),1
affair,"commerce, business",1
bee,"industrious, diligent person",1
to rub,to wash (clothes),1
"to beat, hit",to wash (clothes),1
"stone, rock",sky,1
mountain,cloud,1
"to ask, inquire",to teach,1
sky,day,1
to milk,to derive profit,1
to burn (intr.),to suffer,1
to give,to throw,1
to tie,to begin (tr.),1
to see/to look at,to investigate/examine,1
stick (n.),punishment,1
right (vs. left),honest,1
sharp,hot,1
quiet (vs. loud),calm,1
quiet (vs. loud),secret; covert,1
sharp,bad,1
star,grandmother,1
strong,brave,1
cold (adj.),stupid,1
heavy (of weight),big,1
heavy (of weight),strong,1
"horseman, rider",of high rank,1
stove,house,1
to enter,to flow into,1
rooster,brave person,1
"to tear, rend",to move quickly,1
red,angry,1
red,rich,1
to answer,to agree,1
to pull up (a plant),to destroy,1
stupid,fat (adj.)(of a person),1
pure,good,1
sizing tool,"rule, regulations",1
to be born,birthmark,1
"ship, vessel",shuttle (weaving instrument),1
to shoot,shuttle (weaving instrument),1
to roast,to quarrel,1
bow-string,belt,1
bird,"sign, designation",1
to shave,to deceive,1
hand/arm,"power, authority",1
"short, brief",bad,1
clever,healthy,1
brave,"skilful, dexterous",1
sea,middle,1
"to move, to shift, to transfer",to translate,1
to be engaged in commerce,to deceive,1
leaf,ear,1
hand/arm,flank (military),1
to go down,to die,1
to be glad,to copulate,1
<animal>,fat (adj.)(of a person),1
low (location),secret; covert,1
chameleon,"hypocrite, dissembler",1
"heap, pile","multitude, great number",1
to fall down,autumn,1
palm (body part),destiny,1
navel,bottom,1
to shed leaves,"to shed hair/feathers (animals), moult ; slough",1
<profession>,talkative person,1
eel (Anguilla anguilla),worm,1
belly,womb,1
top,beak,1
to steal,greedy,1
to make sit,to bury,1
gold,money,1
skin (of a person),leprosy,1
sour,sad,1
blue,sad,1
"wide, broad",slow (adj.),1
clever,to be awake,1
to do,to flow,1
"to melt, to thaw",to die,1
bird,crow,1
condemned to death,hooligan,1
black cloud,"multitude, great number",1
forehead,skull,1
bald,skull,1
skull,helmet,1
belly,middle,1
"ear, spike (of a grain plant)",<weapon>,1
head,"ear, spike (of a grain plant)",1
sour,proud,1
sour,<plant (biol.)>,1
tall,dangerous,1
to enter,to set (of heavenly bodies),1
to enter,to copulate,1
"hard, solid",good,1
to thrust (into),to quarrel,1
lotus,beautiful,1
marrow,core (of plant),1
to give birth,to deceive,1
to lose,to forget,1
quick,falcon,1
quick,good,1
to whet,to improve,1
iron,weapon,1
iron,"firm, solid",1
iron,iron (for pressing clothes),1
iron,black,1
ant,foam,1
cheap,"vulgar, common",1
weed,garbage,1
camel,humpbacked,1
whale,big,1
hair,grass,1
hair,"rope, string, cord, lashing",1
to fly,bird,1
left,bad,1
big,tall,1
to seem,to boast,1
to seem,to become visible,1
numerous,big,1
big,to grow up,1
big,main,1
"to make big, large",to bring up,1
to grow up,young man,1
to go up,to grow up,1
"to raise, lift (tr.)",to bring up,1
to tie,strong,1
thick,loud,1
"wide, broad",far away,1
thick,stupid,1
old man,lion (Panthera leo),1
thin (of an object),young,1
"fine, powder-like","little, small",1
"fine, powder-like",child,1
left,bad luck,1
hot,difficult,1
to blow,"to beat, hit",1
short (size),"missing, failing",1
long (size),far away,1
thick,"thick (of a growth, hair)",1
high (location),tall,1
low (location),low (size),1
low (location),deep,1
torso,fat (adj.)(of a person),1
old (vs. young),boss,1
to return (intr.),to become,1
"to turn, rotate (tr.)",to change (tr.),1
narrow,"little, small",1
thin (of an object),"little, small",1
thick,big,1
"little, small",minute,1
wet,"profligate, womanizer",1
"to smear, anoint",to deceive,1
thick,"rough, uneven",1
thick,difficult,1
back (body part),"hard, solid",1
to feed,"to govern, control, rule",1
to smooth,to lick,1
"to smear, anoint",to clean,1
to taste,to touch,1
touched,insane,1
to knead,"to beat, hit",1
tasteless,lazy,1
hot,drunk,1
shine (n.),flower,1
light (of colour),sober,1
clean (adj.),sober,1
period of time,destiny,1
"to err, be wrong",to sin,1
to miss the target,"to err, be wrong",1
to return (intr.),to visit,1
meat,pig (Sus scrofa),1
clean (adj.),healthy,1
face,side (n.),1
"to bend, bow (intr.)",to decline from the route,1
to decline from the route,to tell lie,1
cat,vagina,1
hen,vagina,1
thin (of an object),sparse,1
to blow,to spread (intr.),1
weak,lazy,1
to weaken (intr.),to get tired,1
thin (of an object),giraffe,1
thin (of an object),back (body part),1
worm,snake,1
lion (Panthera leo),snake,1
lion (Panthera leo),animal,1
weasel (Mustella nivalis),mouse,1
mouse,jerboa,1
<animal>,"instrument, tool",1
lion (Panthera leo),cat,1
bird,"happiness, luck",1
to run,to happen,1
to run,servant,1
girl,"female servant, maid",1
dog,shark,1
dog,beaver (Castor fiber),1
dog,rabid,1
to put,to give birth,1
"to beat, hit",to copulate,1
wolf (Canis lupus),hyena,1
wolf (Canis lupus),jackal,1
raven,crow,1
"sweet-smelling, fragrant",good,1
"bad-smelling, stinking","to rot, purefy",1
"sweet-smelling, fragrant",tasty,1
hand/arm,"to help, aid",1
hand/arm,boss,1
"little, small",contemptible,1
big,of high rank,1
empty,to stop doing smth.,1
"ill, sick, not well",wrong,1
white,pure,1
pure,honest,1
to go out,"to fall (of rain, snow)",1
to enter,"to fall (of rain, snow)",1
sharp,passionate,1
mouth,cape,1
mouth,hill,1
lip,hill,1
to put,to bake,1
heat,sweat,1
sweat,blood,1
sweat,forehead,1
sweat,"resin; pitch, tar",1
expensive,greedy,1
strength,clean (adj.),1
strength,body,1
"to beat, hit","to castrate, geld",1
bow-string,tendon,1
pumpkin,diamonds (in cards),1
to extinguish,dark (adj.),1
"dense, thick (liquid)",dark (adj.),1
deep,dark (adj.),1
"rope, string, cord, lashing",knot,1
egg,clew,1
quick,"cunning, sly",1
intact,pure,1
thorn,dog-rose,1
"melancholy, depression",to feel sick,1
mouse,birthmark,1
to speak,to tell a person's fortune,1
to pour,faeces,1
to pour,rain,1
poppy (Papaver somniferum),top,1
poppy (Papaver somniferum),red,1
"little, small",girl,1
"little, small","devil, satan",1
"little, small",little finger,1
raspberry,blackberry,1
raspberry,wild strawberry,1
"little, small",boy,1
oil (food),slippery jack (Suillus luteus),1
"to smear, anoint",oil (food),1
mother,continent,1
owner,woman,1
owner,wife,1
numerous,long (size),1
numerous,"wide, broad",1
slow (adj.),"dense, thick (liquid)",1
"little, small",stupid,1
tree,beam,1
stick (n.),trunk (of a tree),1
work (n.),"grain, seed",1
throat,mouth,1
"handle, gripe",wing,1
stinger (of an insect),penis,1
penis,vagina,1
mouth,vagina,1
nest (n.),womb,1
mouth,womb,1
house,womb,1
nose,penis,1
broom,penis,1
mud,penis,1
vagina,womb,1
vagina,girl,1
snake,penis,1
nest (n.),cradle,1
to kiss,to suck,1
to take,to drink,1
to chew,to eat,1
to taste,to know,1
egg,berry,1
to bite,to eat,1
wing,armpit,1
knee,foot/leg,1
knee,elbow,1
apple,knee,1
apple,cheek,1
knee,ankle,1
mud,sweat,1
tail,"plait, braid",1
tail,navel,1
ear,"handle, gripe",1
ear,awl,1
beard,moustache,1
beard,"plait, braid",1
"country, land",world,1
sky,world,1
blind,mute,1
wolf (Canis lupus),hare (Lepus),1
feather,moss,1
snake,otter (Lutra lutra),1
worm,ant,1
monkey,bear (Ursus),1
bear (Ursus),hedgehog (Еrinaceus),1
mouse,wolf (Canis lupus),1
"country, land",village,1
to kill,to extinguish,1
dark (adj.),"fearful, dreadful",1
to burn (intr.),black,1
cloud,sky,1
smooth,glad,1
green,fresh,1
rotten,lazy,1
rotten,unpleasant,1
blunt,slow (adj.),1
stupid,rabid,1
to grow numb,stupid,1
deaf,to grow numb,1
deaf,blunt,1
slow (adj.),lazy,1
slow (adj.),late,1
wet,soft (adj.),1
to be glad,to forget,1
to mill,to purr,1
to divide into several parts,to distinguish,1
to blink (by eyes),to tremble,1
to pour,to vomit,1
to kiss,to copulate,1
to marry,to copulate,1
difficult,pregnant,1
to bend,"to present, gift",1
red,"naked, bare",1
poet,insane,1
dragonfly,<orthopteran>,1
<orthopteran>,<bird>,1
<animal>,mole cricket (Gryllotalpa),1
"bile, gall",poison,1
bowel,string (of a musical instrument),1
light (n.),sun,1
lip,beak,1
seed (n.),freckle,1
grass,spring (season),1
"melancholy, depression",love,1
<animal>,cunning person,1
single-eyed,squint-eyed,1
fireplace,fire,1
enemy,war,1
weather,bad weather,1
weather,good weather,1
to calm down,to pay,1
to change money,to change (tr.),1
to kill,to sink (tr.),1
spring (season),summer,1
swamp,forest,1
look (n.),face,1
beak,face,1
unhappy,leper,1
saw,"mountain ridge, edge",1
hot,necessary,1
wet,wood-louse,1
other,wrong,1
to equalize,to compare,1
to breathe,air,1
leaf,flower,1
calm,motionless,1
"to prove, to argue",to find,1
bitter,sour,1
to go out,to flow into,1
throat,barrel (of a gun),1
to steal,to take,1
horse (Equus caballus),wave,1
fire,very,1
woman,sheaf,1
face,cheek,1
face,sharp point,1
fruit,"result, outcome",1
to feed,"to gas (a car), to refuel",1
mouth,blade,1
leaf,blade,1
blade,wave,1
ice,glass (material),1
to defend,"to cure, treat (medically)",1
<artisan>,grasshopper (Tettigonioidea),1
basket,chest (body part),1
to clean,"to castrate, geld",1
to leave behind,to win,1
to tickle,to make noise,1
oats,yellow-hammer,1
rural,vulgar,1
urban,cultivated,1
<animal>,greedy,1
to undress,to challenge,1
sad,lazy,1
<animal>,bully,1
miracle,mirror,1
"witch, sorceress",butterfly,1
to saw,to bite,1
to saw,"to vex, exasperate",1
wing,feather,1
feather,arrow,1
wing,oar,1
thick,"hard, solid",1
to throw,to cast out,1
bitter,yellow,1
"stone, rock",colour,1
"to turn, rotate (intr.)",to pass (of time),1
"clasp, buckle",fibula (anat.),1
to throw,to kick,1
shoal,troop (of animals),1
"nestling, baby bird",bud (of a flower),1
bull,frog,1
bull,water beetle,1
wooden object,pack of cards,1
to fall down,to suit (of clothes),1
<vessel>,columbine (Aquilegia),1
grey,hare (Lepus),1
"to spring, jump",hare (Lepus),1
<foreigner>,rooster,1
air,appearance; look,1
active,clever,1
active,keen (of senses),1
white,underwear,1
"to bend, bow (intr.)",to obey,1
"rough, uneven",sour,1
dirty,evil spirit,1
to tickle,water nymph,1
<bird>,freckle,1
foot/leg,hare (Lepus),1
puppy (of a dog),clove (of a garlic),1
to sing,rooster,1
to push,to bribe,1
earring,spindle (Euonymus),1
to die,to be extinguished (light),1
to die,to abate (about wind),1
to die,paralyzed,1
wet,fresh,1
peach,plum,1
broom,comet,1
right (vs. left),liver,1
dog,"witch, sorceress",1
to clench fist,to roll up a trunk (of elephant),1
to hinder,to object,1
stove,prison,1
head,plot,1
head,nail-head,1
to doubt,to be surprised,1
cat,owl,1
to peck (of a bird),to bite (of a fish),1
low (location),weak,1
to dig,to thrust (into),1
to dig,to kick,1
dry,dirty,1
dry,sad,1
low (location),old (vs. new),1
sky,cloud,1
<hat>,aconite,1
<foot-wear>,aconite,1
monk,macereed (Typha),1
<foot-wear>,lady's slipper (Cypripedium),1
blood,Saint-John's-wort (Hypericum),1
blue,cornflower (Centaurea),1
rye (Secale),cornflower (Centaurea),1
cereal,cornflower (Centaurea),1
bald,dandelion (Taraxacum),1
milk,dandelion (Taraxacum),1
bitter,dandelion (Taraxacum),1
priest (Christianity),dandelion (Taraxacum),1
"loach (fish, Misgurnus)",eel (Anguilla anguilla),1
evil spirit,insane,1
strength,<weapon>,1
to fall asleep,to be extinguished (light),1
prison,hell,1
sun,"happiness, luck",1
foot/leg,plantain (Plantago),1
to read,to sing,1
to sit,to wait,1
when,long ago,1
ahead,elder,1
to extinguish,to close one's eyes,1
smell,fame,1
snake,hose,1
brave,good,1
to answer,"to help, aid",1
lord,god,1
old man,king (a playing card),1
drunk,insolent,1
to dig,"to go, walk",1
"to beat, hit",to thunder,1
bell,"watch, clock",1
near,twin,1
runner,shuttle (weaving instrument),1
runner,millstone,1
spindle,spindle (Euonymus),1
"to beat, hit",to spawn,1
white,sober,1
generous with money,"influential, person of consequence",1
poor,greedy,1
whisper,intrigue,1
comb (of a bird),fin,1
weak,coward,1
to grow (plants),to rise (of heavenly bodies),1
to pass by,to happen,1
<foreigner>,syphilis,1
neck,neck (of bottle etc.),1
"to shut, to close",to extinguish,1
thin (of an object),not strong (of liquid or smell),1
to wait,to intend,1
to go up,to get on a vehicle,1
to go down,to get off a vehicle,1
"shout, scream",<unit of length>,1
"sole, unique",best,1
warm,calm,1
Sunday,week,1
shadow theatre,cinema,1
navel,whirlpool,1
<waterfowl>,"ship, vessel",1
to love,to pity,1
winter,cold (adj.),1
"to adorn, decorate",to marry off (a daughter),1
shell,money,1
red,child,1
red,arterial,1
black,venous,1
star,celebrity,1
tail,plantain (Plantago),1
mango,syphilis,1
tamarind (Tamarindus indica),sour,1
fire,electricity,1
strength,courage,1
thunder,electricity,1
round (adj.),lovely,1
palace,transport station,1
hand/arm,strait,1
"shrimp, prawn",clove (of a garlic),1
<vessel>,fool,1
stammerer,fool,1
"underground, subterranean",illegal,1
"underground, subterranean",secret,1
zebra,pedestrian crossing,1
person of small stature,Japanese,1
to give,to marry off (a daughter),1
algae,"multitude, great number",1
in the standing position,not long,1
<measure of weight>,<money>,1
pair of compasses,compass (mariners' directional tool),1
to teach,to punish,1
boss,Englishman,1
ashes,grey,1
yoke,yoke (figuratively),1
cat,seal (animal),1
storm,epidemic,1
yolk,centre,1
pomegranate,ruby (stone),1
<numeral>,<military rank>,1
drunk,to grow numb,1
star,fried eggs,1
mouse,child,1
cloud,freckle,1
flower,girl,1
chameleon,to falsify,1
belly,to be angry,1
heart,"bowels, intestine",1
cotton,sheep,1
pig (Sus scrofa),opossum,1
"lead, plumbum",pencil,1
bell,bellflower (Campanula),1
road,plantain (Plantago),1
"to grasp, seize",to steal,1
snake,"loach (fish, Misgurnus)",1
spring (season),freckle,1
"to light, to kindle (the fire)",to be resurrected,1
<to treat with a sharp instrument>,to quarrel,1
"to beat, hit",to sleep,1
to fly,cloud,1
ten thousand,"multitude, great number",1
lower part,udder,1
to break (tr.),"to slake (hunger, thirst)",1
to break (tr.),to plough,1
<dish>,"disorder, mess",1
hand/arm,handwriting,1
"brilliant, glaring",loud,1
to speak,to promise,1
quiet (vs. loud),"kind, good-hearted",1
oil (food),"resin; pitch, tar",1
cloudy,sad,1
to tell a person's fortune,"to loaf, do nothing",1
to swallow,quinsy,1
beak,muzzle,1
beak,sharp point,1
to see/to look at,to acquire,1
to rub,to row (with oars),1
brave,active,1
to bend,to deceive,1
to get mouldy (musty),to be angry,1
to boil (intr.),"to worry, be agitated",1
cold (adj.),in vain,1
hand/arm,group of men,1
hand/arm,strength,1
greasy,cream (of milk),1
sharp,sorrowful,1
shuttle (weaving instrument),geometrid,1
left,west,1
omen,monster,1
exchange,peace,1
loud,severe (about pain),1
leaf,money,1
to break (tr.),"to know how, to be able",1
palate,"gum, gingiva",1
husband's father,evil spirit,1
sun,east,1
morning,day,1
darkness,west,1
muscle,strength,1
to bend,to subjugate,1
"to adorn, decorate",to clean,1
"to adorn, decorate",to boast,1
head,face,1
to go down,to stop doing smth.,1
to go down,"to humble, to abase",1
to sing,to conjure,1
"to beat, hit",to bite,1
horn,branch (of a river),1
horn,flank (military),1
to hear / to listen,to know,1
to go away,to fall down,1
shield,left,1
spear,sword,1
spear,arrow,1
brave,insolent,1
neck,ravine,1
neck,strait,1
to gamble,to risk,1
"to pull, to draw","to govern, control, rule",1
soft (adj.),quiet (vs. loud),1
soft (adj.),not strong (of liquid or smell),1
soft (adj.),lenient,1
soft (adj.),coward,1
big,strong,1
big,proud,1
mother,queen (bee),1
black cloud,sad,1
night,bat (Microchiroptera),1
hand/arm,domestic (animal),1
sweat,work (n.),1
new,strange,1
cold (adj.),"fearful, dreadful",1
circle,eye,1
circle,year,1
to play (a musical instrument),to practice witchcraft,1
"to pull, to draw",to torture,1
"to ask, inquire",to torture,1
weak,not strong (of liquid or smell),1
light (of weight),not strong (of liquid or smell),1
mouth,"precipice, abyss",1
"precipice, abyss",hell,1
to eat,hell,1
hell,mouth,1
hell,glutton,1
mouth,completion,1
wind,soul,1
to run,to result in,1
rain,worm,1
frog,"tortoise, turtle",1
freedom,territorial entity,1
sharp,strong (of liquid or smell),1
sharp,valid,1
clay,"human temper, character",1
mind (n.),joke,1
neck,throat,1
throat,neck (of bottle etc.),1
sharp,"strong (wind, frost)",1
pine-tree,horsetail,1
to spit,to bless,1
road,quick,1
to drop (of liquid),"to accuse, blame",1
"naked, bare",genitalia,1
"to shine, glitter",to palpitate,1
to defend,to act according to,1
to mill,to destroy,1
to break (tr.),to stop doing smth.,1
blood,revenge,1
donkey,pelican (Pelecanus),1
second (adj.),second (measure of time),1
"human temper, character",obstinate,1
white,good,1
empty,free of charge,1
empty,"naked, bare",1
unripe (fruit),to spoil (intr.),1
pear,electric lamp,1
left,difficult,1
to tie,"to conceive, to become pregnant",1
rye (Secale),wheat,1
to insert,to meet,1
to meet,to happen,1
to join together (tr.),poetry,1
hyena,glutton,1
to mill,"to learn, study",1
to feed,to bribe,1
to fly,"to flee, to escape",1
straight,strong,1
tasty,very,1
fire,war,1
(gun)powder,quick,1
to cut (tr.),poor,1
